,,,tripduration,tripduration,tripduration,tripduration,tripduration
,,,count,sum,max,min,mean
start station name,start station latitude,start station longitude,,,,,
1 Ave & E 15 St,40.73221853,-73.98165557,14254,10386410,17365,60,728.6663392731865
1 Ave & E 18 St,40.73416059,-73.98024289,8664,6820796,18323,60,787.2571560480147
1 Ave & E 30 St,40.74144387,-73.97536082,8039,6231046,17470,60,775.1021271302401
1 Ave & E 44 St,40.75001986,-73.96905301,6058,5654822,20522,63,933.4470122152526
10 Ave & W 28 St,40.75066386,-74.00176802,8081,6677631,20703,60,826.3372107412449
11 Ave & W 27 St,40.751396,-74.00522600000001,8819,8291092,16694,60,940.139698378501
11 Ave & W 41 St,40.76030096,-73.99884222,8414,8416332,21553,60,1000.2771571190873
11 Ave & W 59 St,40.771522,-73.99054100000001,6214,8374777,20579,63,1347.7272288381075
12 Ave & W 40 St,40.76087502,-74.00277668,12723,16420447,20977,60,1290.6112552071052
2 Ave & E 31 St,40.74290902,-73.97706058,13321,9843445,19101,60,738.941896254035
2 Ave & E 58 St,40.76020258,-73.96478473,7043,7237813,18683,60,1027.6605139855176
3 Ave & Schermerhorn St,40.68683208,-73.9796772,1171,1169281,16543,65,998.532023911187
5 Ave & E 29 St,40.7451677,-73.98683077,9907,7211468,19279,60,727.916422731402
6 Ave & Broome St,40.724399,-74.004704,7337,6510962,17678,60,887.4147471718686
6 Ave & Canal St,40.72243797,-74.00566443,6549,6033121,20286,60,921.2278210413804
6 Ave & W 33 St,40.74901271,-73.98848395,11577,8920612,21563,61,770.5460827502807
7 Ave & Farragut St,40.69892054,-73.97332996,161,112289,4275,86,697.4472049689441
8 Ave & W 31 St,40.75044999,-73.99481051,27194,21367131,20575,60,785.7296094726778
8 Ave & W 33 St,40.751551,-73.993934,18454,14186666,20148,60,768.7583179798418
8 Ave & W 52 St,40.76370739,-73.9851615,9286,7943882,18685,60,855.4686625026923
9 Ave & W 14 St,40.7405826,-74.00550867,12429,12359637,19924,60,994.4192614047791
9 Ave & W 16 St,40.74206539,-74.00443172,10113,8673447,18045,60,857.6532186294868
9 Ave & W 18 St,40.74317449,-74.00366443,8763,7371019,20685,60,841.1524592034691
9 Ave & W 22 St,40.7454973,-74.00197139,13243,10079187,18789,60,761.0954466510609
9 Ave & W 45 St,40.76019252,-73.9912551,11240,9210543,19853,60,819.4433274021352
Adelphi St & Myrtle Ave,40.69308257,-73.97178913,2767,1738481,18776,62,628.2909288037586
Allen St & E Houston St,40.722055,-73.989111,10790,8904240,21122,60,825.2307692307693
Allen St & Hester St,40.71605866,-73.99190759,9379,7444442,20074,60,793.735153001386
Allen St & Rivington St,40.72019576,-73.98997825,10543,8375127,20980,60,794.3779759081855
Ashland Pl & Hanson Pl,40.68528172,-73.97805813,4772,3712496,21041,65,777.9748533109807
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,3236,3714085,19968,61,1147.7394932014834
Atlantic Ave & Furman St,40.69165183,-73.99997859999999,3581,5281152,21517,60,1474.7701759285117
Avenue D & E 12 St,40.72580614,-73.97422494,1617,1668895,14589,67,1032.0933828076686
Avenue D & E 3 St,40.72082834,-73.97793172,3543,2998788,9682,60,846.397967823878
Avenue D & E 8 St,40.72368361,-73.97574813,2926,2726626,20675,61,931.8612440191388
Bank St & Hudson St,40.73652889,-74.00618026,8476,7284193,19313,60,859.3903964134025
Bank St & Washington St,40.7361967,-74.00859207,6504,6506315,21482,61,1000.3559348093481
Barclay St & Church St,40.71291224,-74.01020234,12453,10403299,21109,60,835.4050429615354
Barrow St & Hudson St,40.73172428,-74.00674436,10670,9303490,21463,60,871.9297094657919
Bayard St & Baxter St,40.71602118,-73.99974372,7386,6331326,17557,60,857.2063363119415
Bedford Ave & S 9th St,40.70853074,-73.96408963,926,1106490,17811,63,1194.913606911447
Bialystoker Pl & Delancey St,40.71622644,-73.98261206,3923,3492735,19860,62,890.3224573030843
Bond St & Schermerhorn St,40.68807003,-73.98410637,3292,3158060,19194,61,959.3134872417983
Broad St & Bridge St,40.70365182,-74.01167797,3079,3399180,11150,61,1103.9883078921728
Broadway & Battery Pl,40.70463334,-74.01361706,7248,8634760,20141,60,1191.3300220750552
Broadway & Berry St,40.71044554,-73.96525063,2725,3432790,15059,61,1259.7394495412843
Broadway & E 14 St,40.73454567,-73.99074142,20314,14368256,21448,60,707.3080634045485
Broadway & E 22 St,40.740343200000005,-73.98955109,18889,14142990,21456,60,748.7421250463233
Broadway & W 24 St,40.742354299999995,-73.98915076,19008,15631301,21373,60,822.3537984006734
Broadway & W 29 St,40.7462009,-73.98855723,9995,7506642,19723,60,751.03971985993
Broadway & W 32 St,40.74854862,-73.98808416,10801,7916402,17492,60,732.9323210813814
Broadway & W 36 St,40.75097711,-73.98765428,8390,6544535,20718,61,780.0399284862932
Broadway & W 37 St,40.75172632,-73.98753523,7299,5749181,19924,60,787.6669406768051
Broadway & W 39 St,40.75299641,-73.98721619,6306,5015885,19345,60,795.4146844275293
Broadway & W 41 St,40.75513557,-73.98658032,13375,10169600,20760,60,760.3439252336449
Broadway & W 49 St,40.76064679,-73.98442659,10557,8824057,19683,60,835.8489154115753
Broadway & W 51 St,40.76228826,-73.98336183,7680,6665663,21303,60,867.9248697916667
Broadway & W 53 St,40.76344058,-73.98268129,6510,5763889,18869,60,885.390015360983
Broadway & W 55 St,40.7652654,-73.98192338,8005,7362930,20405,60,919.791380387258
Broadway & W 58 St,40.76695317,-73.98169333,13847,15740403,21417,60,1136.737416046797
Broadway & W 60 St,40.76915505,-73.98191841,19076,25456922,21020,61,1334.5
Bus Slip & State St,40.701907,-74.013942,4894,7250960,18363,61,1481.601961585615
Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,1809,2179232,19257,60,1204.661138750691
Cadman Plaza E & Tillary St,40.69597683,-73.99014892,2453,2897731,16354,61,1181.300856094578
Cadman Plaza West & Montague St,40.69383,-73.990539,2512,2312785,17631,60,920.6946656050956
Canal St & Rutgers St,40.71427487,-73.98990025,9085,6882826,19802,60,757.6033021463952
Carlton Ave & Park Ave,40.69580705,-73.97355569,874,678158,8072,92,775.9244851258582
Carmine St & 6 Ave,40.73038599,-74.00214988,16955,13549007,20049,60,799.1157180772633
Catherine St & Monroe St,40.71117444,-73.99682619,4195,3537030,21126,60,843.1537544696067
Central Park S & 6 Ave,40.76590936,-73.97634151,11126,21743230,20814,60,1954.2719755527594
Centre St & Chambers St,40.71273266,-74.0046073,13646,15200807,21164,60,1113.93866334457
Centre St & Worth St,40.71494807,-74.00234482,6202,6576993,18764,60,1060.4632376652692
Cherry St,40.71219906,-73.97948148,4019,4514357,16970,60,1123.2537944762378
Christopher St & Greenwich St,40.73291553,-74.00711384,18747,16483115,21437,60,879.240145089881
Clark St & Henry St,40.69760127,-73.99344559,4088,3228309,18701,60,789.7037671232877
Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,1736,1540084,18997,60,887.1451612903226
Clermont Ave & Park Ave,40.69573398,-73.97129668,1251,1023640,21123,77,818.2573940847323
Cleveland Pl & Spring St,40.7218158,-73.99720307,18959,15287647,21489,60,806.3530249485732
Cliff St & Fulton St,40.70823502,-74.00530063,8302,8036477,20871,62,968.016983859311
Clinton Ave & Flushing Ave,40.69794,-73.96986848,1368,1730059,17763,61,1264.6630116959063
Clinton Ave & Myrtle Ave,40.693261,-73.968896,4177,3069869,18363,60,734.9458941824275
Clinton St & Grand St,40.71559509,-73.9870295,5493,4247670,20833,61,773.2878208629164
Clinton St & Joralemon St,40.69239502,-73.99337909,2707,2736317,15905,61,1010.8300701884004
Clinton St & Tillary St,40.696191999999996,-73.991218,3444,3994149,17408,60,1159.7412891986062
Columbia Heights & Cranberry St,40.70037867,-73.99548059,1883,2217754,17386,63,1177.7769516728624
Columbia St & Rivington St,40.71739973,-73.98016555,3681,3060260,18630,60,831.3664765009509
Concord St & Bridge St,40.69766564,-73.98476437,1306,1361084,17243,61,1042.177641653905
Cumberland St & Lafayette Ave,40.68753406,-73.97265183,2576,1909216,16248,61,741.1552795031056
DeKalb Ave & Hudson Ave,40.689888,-73.981013,3567,2365451,12208,61,663.1485842444631
DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,2258,1755314,18418,66,777.3755535872453
DeKalb Ave & Skillman St,40.6906495,-73.95643107,1076,1114391,20872,71,1035.6793680297399
DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,2531,1790068,17276,60,707.2572105887001
Dean St & 4 Ave,40.68312489,-73.97895137,3867,5369657,20999,62,1388.584690974916
Division St & Bowery,40.71413089,-73.99704679999999,5469,4540645,20210,61,830.2514170780764
Duane St & Greenwich St,40.71748752,-74.0104554,5040,4287291,20187,60,850.6529761904762
Duffield St & Willoughby St,40.69221589,-73.9842844,1879,1705762,16486,60,907.8030867482704
E 10 St & 5 Ave,40.73331967,-73.99510132,8413,5914655,16242,60,703.0375609176275
E 10 St & Avenue A,40.72740794,-73.98142006,12087,9915580,21411,60,820.3507901050716
E 11 St & 1 Ave,40.72953837,-73.98426726,9311,6898199,18600,60,740.8655353882505
E 11 St & 2 Ave,40.73047309,-73.98672378,12187,9044653,21185,60,742.1558217773037
E 11 St & Broadway,40.73261787,-73.99158043,7348,5407322,17815,61,735.8903102885139
E 12 St & 3 Ave,40.73223272,-73.98889957,11677,8290953,19802,60,710.0242356769718
E 13 St & Avenue A,40.72955361,-73.98057249,10019,7948594,19242,60,793.3520311408324
E 14 St & Avenue B,40.72938685,-73.97772429,8105,6689286,17078,65,825.3283158544109
E 15 St & 3 Ave,40.734232,-73.986923,6610,4652779,20113,62,703.9
E 16 St & 5 Ave,40.73726186,-73.99238967,11774,9235309,21062,60,784.3816035332088
E 16 St & Irving Pl,40.73524276,-73.98758561,6968,5073245,19569,60,728.0776406429392
